date,url,1_team_name,1_team_id,1_team_ranking_points,2_team_name,2_team_id,2_team_ranking_points,3_team_name,3_team_id,3_team_ranking_points,4_team_name,4_team_id,4_team_ranking_points,5_team_name,5_team_id,5_team_ranking_points,6_team_name,6_team_id,6_team_ranking_points,7_team_name,7_team_id,7_team_ranking_points,8_team_name,8_team_id,8_team_ranking_points,9_team_name,9_team_id,9_team_ranking_points,10_team_name,10_team_id,10_team_ranking_points,11_team_name,11_team_id,11_team_ranking_points,12_team_name,12_team_id,12_team_ranking_points,13_team_name,13_team_id,13_team_ranking_points,14_team_name,14_team_id,14_team_ranking_points,15_team_name,15_team_id,15_team_ranking_points,16_team_name,16_team_id,16_team_ranking_points,17_team_name,17_team_id,17_team_ranking_points,18_team_name,18_team_id,18_team_ranking_points,19_team_name,19_team_id,19_team_ranking_points,20_team_name,20_team_id,20_team_ranking_points,21_team_name,21_team_id,21_team_ranking_points,22_team_name,22_team_id,22_team_ranking_points,23_team_name,23_team_id,23_team_ranking_points,24_team_name,24_team_id,24_team_ranking_points,25_team_name,25_team_id,25_team_ranking_points,26_team_name,26_team_id,26_team_ranking_points,27_team_name,27_team_id,27_team_ranking_points,28_team_name,28_team_id,28_team_ranking_points,29_team_name,29_team_id,29_team_ranking_points,30_team_name,30_team_id,30_team_ranking_points
2022-03-07,https://www.hltv.org/ranking/teams/2022/march/07,natus-vincere,4608,1000,gambit,6651,744,g2,5995,557,faze,6667,534,vitality,9565,419,virtuspro,5378,391,heroic,7175,351,nip,4411,324,astralis,6665,204,og,10503,176,big,7532,152,entropiq,10831,143,mouz,4494,137,furia,8297,132,ence,4869,131,fnatic,4991,126,copenhagen-flames,7461,115,godsent,6902,112,k23,7244,99,forze,8135,89,heet,11501,83,skade,10386,79,sprout,8637,60,wisla-krakow,10426,59,gamerlegion,9928,57,dignitas,5422,57,ecstatic,11419,56,endpoint,7234,55,spirit,7020,51,eternal-fire,11251,50
2022-03-08,https://www.hltv.org/ranking/teams/2022/march/07,natus-vincere,4608,1000,gambit,6651,744,g2,5995,557,faze,6667,534,vitality,9565,419,virtuspro,5378,391,heroic,7175,351,nip,4411,324,astralis,6665,204,og,10503,176,big,7532,152,entropiq,10831,143,mouz,4494,137,furia,8297,132,ence,4869,131,fnatic,4991,126,copenhagen-flames,7461,115,godsent,6902,112,k23,7244,99,forze,8135,89,heet,11501,83,skade,10386,79,sprout,8637,60,wisla-krakow,10426,59,gamerlegion,9928,57,dignitas,5422,57,ecstatic,11419,56,endpoint,7234,55,spirit,7020,51,eternal-fire,11251,50
2022-03-09,https://www.hltv.org/ranking/teams/2022/march/07,natus-vincere,4608,1000,gambit,6651,744,g2,5995,557,faze,6667,534,vitality,9565,419,virtuspro,5378,391,heroic,7175,351,nip,4411,324,astralis,6665,204,og,10503,176,big,7532,152,entropiq,10831,143,mouz,4494,137,furia,8297,132,ence,4869,131,fnatic,4991,126,copenhagen-flames,7461,115,godsent,6902,112,k23,7244,99,forze,8135,89,heet,11501,83,skade,10386,79,sprout,8637,60,wisla-krakow,10426,59,gamerlegion,9928,57,dignitas,5422,57,ecstatic,11419,56,endpoint,7234,55,spirit,7020,51,eternal-fire,11251,50
2022-03-10,https://www.hltv.org/ranking/teams/2022/march/07,natus-vincere,4608,1000,gambit,6651,744,g2,5995,557,faze,6667,534,vitality,9565,419,virtuspro,5378,391,heroic,7175,351,nip,4411,324,astralis,6665,204,og,10503,176,big,7532,152,entropiq,10831,143,mouz,4494,137,furia,8297,132,ence,4869,131,fnatic,4991,126,copenhagen-flames,7461,115,godsent,6902,112,k23,7244,99,forze,8135,89,heet,11501,83,skade,10386,79,sprout,8637,60,wisla-krakow,10426,59,gamerlegion,9928,57,dignitas,5422,57,ecstatic,11419,56,endpoint,7234,55,spirit,7020,51,eternal-fire,11251,50
2022-02-28,https://www.hltv.org/ranking/teams/2022/february/28,natus-vincere,4608,1000,gambit,6651,744,g2,5995,549,faze,6667,533,vitality,9565,447,virtuspro,5378,384,heroic,7175,350,nip,4411,344,astralis,6665,203,og,10503,176,entropiq,10831,152,big,7532,141,mouz,4494,137,furia,8297,132,ence,4869,128,fnatic,4991,124,copenhagen-flames,7461,120,godsent,6902,111,k23,7244,106,forze,8135,76,heet,11501,74,ecstatic,11419,62,complexity,5005,60,wisla-krakow,10426,59,sprout,8637,59,dignitas,5422,56,gamerlegion,9928,56,apeks,9806,50,skade,10386,49,bluejays,5347,48
2022-03-01,https://www.hltv.org/ranking/teams/2022/february/28,natus-vincere,4608,1000,gambit,6651,744,g2,5995,549,faze,6667,533,vitality,9565,447,virtuspro,5378,384,heroic,7175,350,nip,4411,344,astralis,6665,203,og,10503,176,entropiq,10831,152,big,7532,141,mouz,4494,137,furia,8297,132,ence,4869,128,fnatic,4991,124,copenhagen-flames,7461,120,godsent,6902,111,k23,7244,106,forze,8135,76,heet,11501,74,ecstatic,11419,62,complexity,5005,60,wisla-krakow,10426,59,sprout,8637,59,dignitas,5422,56,gamerlegion,9928,56,apeks,9806,50,skade,10386,49,bluejays,5347,48
2022-03-02,https://www.hltv.org/ranking/teams/2022/february/28,natus-vincere,4608,1000,gambit,6651,744,g2,5995,549,faze,6667,533,vitality,9565,447,virtuspro,5378,384,heroic,7175,350,nip,4411,344,astralis,6665,203,og,10503,176,entropiq,10831,152,big,7532,141,mouz,4494,137,furia,8297,132,ence,4869,128,fnatic,4991,124,copenhagen-flames,7461,120,godsent,6902,111,k23,7244,106,forze,8135,76,heet,11501,74,ecstatic,11419,62,complexity,5005,60,wisla-krakow,10426,59,sprout,8637,59,dignitas,5422,56,gamerlegion,9928,56,apeks,9806,50,skade,10386,49,bluejays,5347,48
2022-03-03,https://www.hltv.org/ranking/teams/2022/february/28,natus-vincere,4608,1000,gambit,6651,744,g2,5995,549,faze,6667,533,vitality,9565,447,virtuspro,5378,384,heroic,7175,350,nip,4411,344,astralis,6665,203,og,10503,176,entropiq,10831,152,big,7532,141,mouz,4494,137,furia,8297,132,ence,4869,128,fnatic,4991,124,copenhagen-flames,7461,120,godsent,6902,111,k23,7244,106,forze,8135,76,heet,11501,74,ecstatic,11419,62,complexity,5005,60,wisla-krakow,10426,59,sprout,8637,59,dignitas,5422,56,gamerlegion,9928,56,apeks,9806,50,skade,10386,49,bluejays,5347,48
2022-03-04,https://www.hltv.org/ranking/teams/2022/february/28,natus-vincere,4608,1000,gambit,6651,744,g2,5995,549,faze,6667,533,vitality,9565,447,virtuspro,5378,384,heroic,7175,350,nip,4411,344,astralis,6665,203,og,10503,176,entropiq,10831,152,big,7532,141,mouz,4494,137,furia,8297,132,ence,4869,128,fnatic,4991,124,copenhagen-flames,7461,120,godsent,6902,111,k23,7244,106,forze,8135,76,heet,11501,74,ecstatic,11419,62,complexity,5005,60,wisla-krakow,10426,59,sprout,8637,59,dignitas,5422,56,gamerlegion,9928,56,apeks,9806,50,skade,10386,49,bluejays,5347,48
2022-03-05,https://www.hltv.org/ranking/teams/2022/february/28,natus-vincere,4608,1000,gambit,6651,744,g2,5995,549,faze,6667,533,vitality,9565,447,virtuspro,5378,384,heroic,7175,350,nip,4411,344,astralis,6665,203,og,10503,176,entropiq,10831,152,big,7532,141,mouz,4494,137,furia,8297,132,ence,4869,128,fnatic,4991,124,copenhagen-flames,7461,120,godsent,6902,111,k23,7244,106,forze,8135,76,heet,11501,74,ecstatic,11419,62,complexity,5005,60,wisla-krakow,10426,59,sprout,8637,59,dignitas,5422,56,gamerlegion,9928,56,apeks,9806,50,skade,10386,49,bluejays,5347,48
2022-03-06,https://www.hltv.org/ranking/teams/2022/february/28,natus-vincere,4608,1000,gambit,6651,744,g2,5995,549,faze,6667,533,vitality,9565,447,virtuspro,5378,384,heroic,7175,350,nip,4411,344,astralis,6665,203,og,10503,176,entropiq,10831,152,big,7532,141,mouz,4494,137,furia,8297,132,ence,4869,128,fnatic,4991,124,copenhagen-flames,7461,120,godsent,6902,111,k23,7244,106,forze,8135,76,heet,11501,74,ecstatic,11419,62,complexity,5005,60,wisla-krakow,10426,59,sprout,8637,59,dignitas,5422,56,gamerlegion,9928,56,apeks,9806,50,skade,10386,49,bluejays,5347,48
